,salinity,Lat,Lon,x,y
BDL,2.480399259,38.186785,-121.9707745,590134.7,4227040.1
CSE,2.823518922,38.07394957,-121.8500958,600859.1,4214643.6
CYG,3.714110505,38.1527,-122.0908,579678,4223160
GOD,6.444677673,38.1238,-122.0812,580533.214,4219949.694
GYS,6.936855657,38.11908576,-122.0957696,579253,4219416
HUN,5.185973454,38.156,-122.0527,582994.8199,4223547.67
IBS,6.104351843,38.15729922,-122.1136785,577650.9,4223639
MSL,2.393732929,38.0934,-121.8872,597578.3032,4216762.676
NSL2,2.246983725,38.12222,-121.888694,597451.6,4219938
SNC,3.473866216,38.18503208,-122.0830545,580303.5,4226742.3
TEA,3.640935403,38.17667,-122.08611,580045,4225811
VOL,3.559247489,38.180526,-122.0469582,583348,4226330
PDC,0.215315175,37.8020598,-121.4122564,639778,4185041
RSL,0.212362707,37.976,-121.635,619885.2,4204031
SWE,0.088030986,38.24180921,-121.515902,629874.3,4233686.1
SUS,0.082277128,38.25,-121.6020833,622318.4,4234477.5
SJL,0.137666657,37.81097104,-121.3234822,647576.1,4186166.1
SUR,0.468941515,37.78836111,-121.4193889,639164.7,4183509.3
SJG,0.093309706,37.93546702,-121.3302259,646735.2,4199969.7
MDM,0.233064778,37.94266627,-121.5338075,628839.5,4200455
OH4,0.247405432,37.89103627,-121.5702283,625718.9,4194688.9
DSJ,0.204006548,38.0130657,-121.670862,616676.6,4208098.2
DLC,0.043492613,38.24477822,-121.5052384,630802.2,4234030.6
LPS,0.101957776,38.09638889,-121.496111,631868.1,4217577.6
SJJ,0.202533351,38.05222551,-121.6889328,615029,4212420.9
FPT,0.063601423,38.45601954,-121.5013437,630762.5,4257477
SDC,0.076048539,38.25752555,-121.5179832,629664.2,4235427.1
GSS,0.079880986,38.23726412,-121.5176741,629727.3,4233179.3
GES,0.078922722,38.23889218,-121.5234467,629219.1,4233351.8
CM72,0.412935268,38.47686944,-121.5836417,623525.5,4259677.4
CM66,0.258805147,38.40444444,-121.6145556,620970,4251599.2
LBTOE,0.1834212,38.34944012,-121.6449015,618409.8,4245456.2
CM62,0.167795213,38.34166667,-121.6438889,618511,4244595
SGG,0.178532612,38.3183333,-121.6930556,614250.8,4241943.7
HAS,0.112064844,38.29415,-121.7257389,611430.5,4239220.3
USC,0.106286949,38.27555556,-121.7091667,612908.6,4237177.1
LIB,0.086112514,38.2431666,-121.6845667,615115,4233613
RYF,0.086112514,38.19395556,-121.6580028,617515.3,4228186.2
SDI,0.424614717,38.093367,-121.737267,610748.9,4216702.8
CONFL,4.27167728,38.04953056,-121.88755,597605.9,4211894.6
BENBR,16.66920792,38.04492057,-122.1266323,576633.3,4211159
CARQB,21.82882749,38.0613095,-122.2255241,567940.8,4212900.6
DUM,28.36382031,37.504,-122.119,577828.8,4151167.7
SFP17,30.74933714,37.803,-122.397,553143.4,4184169.8
ALK,30.82206114,37.82722222,-122.4216667,550895.2,4186802.8
RICHB,29.84244425,37.93527778,-122.4463889,548648.5,4198778.5
GRIZZB,10.10855654,38.10853056,-122.0559806,582761,4218277.6
FMB,2.792607389,38.19489444,-122.0328139,584692.1,4227881.3
SSI,0.73917337,38.07415,-121.76174,608608.2,4214765.6
CSE,2.39429864,38.07394957,-121.8500958,600859.1,4214643.6
PTS,3.543510236,38.04316356,-121.8918355,597238.3,4211183.7
ANH,1.131100158,38.01784713,-121.802883,605075.1,4208474.7
RIV,0.08563298,38.15916838,-121.6844634,615252.9,4224292.9
TWI,0.15610942,38.09746,-121.66872,616731,4217465
SAL,0.140089148,38.10327819,-121.5912553,623513.4,4218211.2
CLC,0.274702937,37.8298,-121.5574,626952,4187911.6
