,Lat,Lon,Id,Source,turbidity,SED_1,SED_2,SED_3
11304810,37.93546702,-121.3302259,11304810,nwis,2.5,1.388888889,1.388888889,1.388888889
11312676,37.94266627,-121.5338075,11312676,nwis,1.9,1.055555556,1.055555556,1.055555556
11313315,37.89103627,-121.5702283,11313315,nwis,1.9,1.055555556,1.055555556,1.055555556
11313433,38.0130657,-121.670862,11313433,nwis,8.1,4.5,4.5,4.5
11336600,38.24477822,-121.5052384,11336600,nwis,1.5,0.833333333,0.833333333,0.833333333
11336790,38.09638889,-121.496111,11336790,nwis,1,0.555555556,0.555555556,0.555555556
11447830,38.32841998,-121.5773549,11447830,nwis,1.4,0.777777778,0.777777778,0.777777778
11447850,38.28477024,-121.5867841,11447850,nwis,1.5,0.833333333,0.833333333,0.833333333
11447890,38.25752555,-121.5179832,11447890,nwis,1.8,1,1,1
11447903,38.23726412,-121.5176741,11447903,nwis,1.7,0.944444444,0.944444444,0.944444444
11455315,38.2431666,-121.6845667,11455315,nwis,10,5.555555556,5.555555556,5.555555556
11455335,38.2561111,-121.6666667,11455335,nwis,3.2,1.777777778,1.777777778,1.777777778
11455780,38.04492057,-122.1266323,11455780,nwis,22.5,12.5,12.5,12.5
3.74938E+14,37.82722222,-122.4216667,3.74938E+14,nwis,5.9,3.277777778,3.277777778,3.277777778
3.75607E+14,37.93527778,-122.4463889,3.75607E+14,nwis,13.4,7.444444444,7.444444444,7.444444444
B9409500,38.1061111,-121.571111,B9409500,wdl,1.4,0.777777778,0.777777778,0.777777778
B9502900,38.0325,-121.719083,B9502900,wdl,13,7.222222222,7.222222222,7.222222222
B9504400,38.0558333,-121.6669444,B9504400,wdl,7.8,4.333333333,4.333333333,4.333333333
B9510800,38.0711111,-121.5788889,B9510800,wdl,5,2.777777778,2.777777778,2.777777778
B9512000,38.01638889,-121.5819444,B9512000,wdl,8.1,4.5,4.5,4.5
B9520000,38.0272222,-121.5644444,B9520000,wdl,5.7,3.166666667,3.166666667,3.166666667
B9528500,37.8708333,-121.53,B9528500,wdl,1.4,0.777777778,0.777777778,0.777777778
B9529500,37.82013889,-121.5446111,B9529500,wdl,3.9,2.166666667,2.166666667,2.166666667
B9545800,38.00305556,-121.5108985,B9545800,wdl,3,1.666666667,1.666666667,1.666666667
B9550000,37.890778,-121.488361,B9550000,wdl,1.7,0.944444444,0.944444444,0.944444444
B9553100,37.876222,-121.383306,B9553100,wdl,1.6,0.888888889,0.888888889,0.888888889
B9561600,37.9925,-121.4538889,B9561600,wdl,2.13,1.183333333,1.183333333,1.183333333
